date,intercn,costratio,fit,lwr,upr,fit.transformed,lwr.transformed,upr.transformed
2/6/2006,ERCOT,0.218777074,587214.4626,579206.6704,595222.2548,0.010459581,-0.003319968,0.02423913
2/6/2006,WECC,0.225219363,878102.2704,869886.9468,886317.594,0.004828783,-0.004572165,0.014229731
2/7/2006,EAST,0.264973546,5080396.349,5033953.44,5126839.259,0.010795502,0.001555222,0.020035782
2/7/2006,ERCOT,0.231727954,584935.7108,578157.7961,591713.6255,0.006538379,-0.005124837,0.018201594
2/7/2006,WECC,0.235917532,876938.7435,867971.1039,885906.3831,0.003497337,-0.0067645,0.013759174
2/8/2006,EAST,0.26016897,5082768.217,5037563.653,5127972.78,0.011267409,0.00227351,0.020261308
2/8/2006,ERCOT,0.227350285,585670.9527,578592.6455,592749.26,0.007803559,-0.004376562,0.019983681
2/8/2006,WECC,0.229575348,877600.6515,869064.1596,886137.1435,0.004254771,-0.005513696,0.014023238
2/9/2006,EAST,0.269977169,5077972.082,5029391.642,5126552.522,0.01031317,0.000647607,0.019978733
2/9/2006,ERCOT,0.234591943,584475.7071,577833.0977,591118.3165,0.005746819,-0.005683567,0.017177206
2/9/2006,WECC,0.234671488,877062.1993,868172.6985,885951.7001,0.00363861,-0.006533811,0.013811031
2/10/2006,EAST,0.266428142,5079686.679,5032691.973,5126681.386,0.010654306,0.001304241,0.020004372
2/10/2006,ERCOT,0.232473787,584814.2764,578076.109,591552.4439,0.006329419,-0.005265401,0.017924238
2/10/2006,WECC,0.237026828,876831.5216,867797.5613,885865.4819,0.003374641,-0.006963088,0.01371237
2/11/2006,EAST,0.266428142,5079686.679,5032691.973,5126681.386,0.010654306,0.001304241,0.020004372
2/11/2006,ERCOT,0.232473787,584814.2764,578076.109,591552.4439,0.006329419,-0.005265401,0.017924238
2/11/2006,WECC,0.237026828,876831.5216,867797.5613,885865.4819,0.003374641,-0.006963088,0.01371237
2/12/2006,EAST,0.266428142,5079686.679,5032691.973,5126681.386,0.010654306,0.001304241,0.020004372
2/12/2006,ERCOT,0.232473787,584814.2764,578076.109,591552.4439,0.006329419,-0.005265401,0.017924238
2/12/2006,WECC,0.237026828,876831.5216,867797.5613,885865.4819,0.003374641,-0.006963088,0.01371237
2/13/2006,EAST,0.277829455,5074266.149,5021567.741,5126964.558,0.009575838,-0.000909036,0.020060712
2/13/2006,ERCOT,0.241100174,583496.4088,577002.5122,589990.3054,0.004061675,-0.007112812,0.015236161
2/13/2006,WECC,0.240496341,876512.1736,867291.5681,885732.7791,0.003009205,-0.007542105,0.013560516
2/14/2006,EAST,0.293158847,5067348.617,5007149.551,5127547.683,0.008199526,-0.003777678,0.02017673
2/14/2006,ERCOT,0.254755827,581771.7323,575124.0621,588419.4026,0.001093907,-0.010345188,0.012533003
2/14/2006,WECC,0.249666641,875779.3876,866219.5626,885339.2127,0.002170665,-0.008768821,0.013110151
2/15/2006,EAST,0.280862064,5072866.357,5018539.704,5127193.009,0.009297335,-0.001511494,0.020106164
2/15/2006,ERCOT,0.240236243,583620.9169,577118.5446,590123.2891,0.004275924,-0.006913147,0.015464995
2/15/2006,WECC,0.237046537,876829.6393,867794.529,885864.7495,0.003372487,-0.006966558,0.013711532
2/16/2006,EAST,0.28333558,5071736.735,5016114.43,5127359.041,0.009072586,-0.001994026,0.020139198
2/16/2006,ERCOT,0.241120969,583493.4332,576999.7028,589987.1635,0.004056554,-0.007117646,0.015230755
2/16/2006,WECC,0.235743749,876955.7693,867998.8,885912.7386,0.00351682,-0.006732807,0.013766447
2/17/2006,EAST,0.269094446,5078396.273,5030236.408,5126556.139,0.010397567,0.000815682,0.019979453
2/17/2006,ERCOT,0.229839947,585248.1578,578354.9343,592141.3812,0.007076027,-0.004785608,0.018937663
2/17/2006,WECC,0.232623713,877272.1148,868518.8246,886025.4049,0.00387882,-0.006137733,0.013895373
2/18/2006,EAST,0.269094446,5078396.273,5030236.408,5126556.139,0.010397567,0.000815682,0.019979453
2/18/2006,ERCOT,0.229839947,585248.1578,578354.9343,592141.3812,0.007076027,-0.004785608,0.018937663
2/18/2006,WECC,0.232623713,877272.1148,868518.8246,886025.4049,0.00387882,-0.006137733,0.013895373
2/19/2006,EAST,0.269094446,5078396.273,5030236.408,5126556.139,0.010397567,0.000815682,0.019979453
2/19/2006,ERCOT,0.229839947,585248.1578,578354.9343,592141.3812,0.007076027,-0.004785608,0.018937663
2/19/2006,WECC,0.232623713,877272.1148,868518.8246,886025.4049,0.00387882,-0.006137733,0.013895373
2/20/2006,EAST,0.269094446,5078396.273,5030236.408,5126556.139,0.010397567,0.000815682,0.019979453
2/20/2006,ERCOT,0.229839947,585248.1578,578354.9343,592141.3812,0.007076027,-0.004785608,0.018937663
2/20/2006,WECC,0.232623713,877272.1148,868518.8246,886025.4049,0.00387882,-0.006137733,0.013895373
2/21/2006,EAST,0.278043981,5074166.575,5021352.236,5126980.914,0.009556027,-0.000951913,0.020063966
2/21/2006,ERCOT,0.23191853,584904.5733,578137.1234,591672.0231,0.006484798,-0.00516041,0.018130006
2/21/2006,WECC,0.232065049,877330.9007,868616.2692,886045.5322,0.00394609,-0.006026225,0.013918405
2/22/2006,EAST,0.275455453,5075373.86,5023957.393,5126790.327,0.009796228,-0.000433591,0.020026047
2/22/2006,ERCOT,0.229825183,585250.6292,578356.4197,592144.8386,0.00708028,-0.004783052,0.018943612
2/22/2006,WECC,0.238545204,876688.806,867569.2217,885808.3903,0.003211329,-0.007224381,0.013647039
2/23/2006,EAST,0.284438544,5071236.402,5015050.569,5127422.234,0.008973039,-0.002205692,0.020151771
2/23/2006,ERCOT,0.239944852,583663.2996,577157.3612,590169.238,0.004348855,-0.006846353,0.015544063
2/23/2006,WECC,0.245333819,876106.0953,866679.3212,885532.8694,0.002544522,-0.008242711,0.013331756
2/24/2006,EAST,0.273021437,5076520.903,5026398.913,5126642.892,0.010024444,5.22E-05,0.019996713
2/24/2006,ERCOT,0.239797728,583684.7726,577176.8946,590192.6507,0.004385805,-0.00681274,0.01558435
2/24/2006,WECC,0.245076913,876126.5464,866709.1523,885543.9404,0.002567925,-0.008208574,0.013344424
2/25/2006,EAST,0.273021437,5076520.903,5026398.913,5126642.892,0.010024444,5.22E-05,0.019996713
2/25/2006,ERCOT,0.239797728,583684.7726,577176.8946,590192.6507,0.004385805,-0.00681274,0.01558435
2/25/2006,WECC,0.245076913,876126.5464,866709.1523,885543.9404,0.002567925,-0.008208574,0.013344424
2/26/2006,EAST,0.273021437,5076520.903,5026398.913,5126642.892,0.010024444,5.22E-05,0.019996713
2/26/2006,ERCOT,0.239797728,583684.7726,577176.8946,590192.6507,0.004385805,-0.00681274,0.01558435
2/26/2006,WECC,0.245076913,876126.5464,866709.1523,885543.9404,0.002567925,-0.008208574,0.013344424
2/27/2006,EAST,0.29138338,5068130.891,5008675.955,5127585.828,0.008355167,-0.003473985,0.020184319
2/27/2006,ERCOT,0.254581964,581790.6441,575146.8636,588434.4246,0.00112645,-0.010305952,0.012558852
2/27/2006,WECC,0.259493488,875158.8836,865445.6582,884872.1089,0.00146061,-0.009654414,0.012575635
2/28/2006,EAST,0.31435825,5058301.434,4992591.971,5124010.897,0.006399499,-0.006674054,0.019473051
2/28/2006,ERCOT,0.2747461,580171.7648,573202.0602,587141.4693,-0.001659265,-0.013652506,0.010333977
2/28/2006,WECC,0.273810764,874520.1176,864763.5353,884276.6999,0.000729659,-0.01043498,0.011894297
3/1/2006,EAST,0.317730778,5056901.057,4990875.647,5122926.467,0.00612088,-0.007015534,0.019257293
3/1/2006,ERCOT,0.289625756,579652.8857,572788.8181,586516.9533,-0.002552135,-0.0143636,0.00925933
3/1/2006,WECC,0.282719674,874257.817,864436.0671,884079.5669,0.000429503,-0.010809708,0.011668715
3/2/2006,EAST,0.308382131,5060804.843,4996015.817,5125593.87,0.006897577,-0.005992846,0.019788
3/2/2006,ERCOT,0.284836423,579766.2186,572837.2196,586695.2176,-0.002357116,-0.014280312,0.009566081
3/2/2006,WECC,0.280177102,874323.259,864529.6749,884116.8432,0.00050439,-0.010702591,0.01171137
3/3/2006,EAST,0.316702891,5057327.022,4991383.048,5123270.996,0.00620563,-0.006914581,0.019325841
3/3/2006,ERCOT,0.289716531,579651.1869,572788.5793,586513.7944,-0.002555058,-0.014364011,0.009253894
3/3/2006,WECC,0.279786771,874333.948,864543.8985,884123.9975,0.000516621,-0.010686315,0.011719557
3/4/2006,EAST,0.316702891,5057327.022,4991383.048,5123270.996,0.00620563,-0.006914581,0.019325841
3/4/2006,ERCOT,0.289716531,579651.1869,572788.5793,586513.7944,-0.002555058,-0.014364011,0.009253894
3/4/2006,WECC,0.279786771,874333.948,864543.8985,884123.9975,0.000516621,-0.010686315,0.011719557
3/5/2006,EAST,0.316702891,5057327.022,4991383.048,5123270.996,0.00620563,-0.006914581,0.019325841
3/5/2006,ERCOT,0.289716531,579651.1869,572788.5793,586513.7944,-0.002555058,-0.014364011,0.009253894
3/5/2006,WECC,0.279786771,874333.948,864543.8985,884123.9975,0.000516621,-0.010686315,0.011719557
3/6/2006,EAST,0.322854799,5054787.329,4988539.391,5121035.267,0.005700332,-0.007480355,0.01888102
3/6/2006,ERCOT,0.29060873,579635.3464,572787.4903,586483.2025,-0.002582316,-0.014365885,0.009201252
3/6/2006,WECC,0.272741395,874558.0847,864804.4375,884311.7319,0.000773105,-0.010388175,0.011934385
3/7/2006,EAST,0.322145198,5055079.17,4988844.565,5121313.776,0.005758397,-0.007419638,0.018936432
3/7/2006,ERCOT,0.280896147,579896.3013,572934.445,586858.1576,-0.002133273,-0.01411301,0.009846463
3/7/2006,WECC,0.267898394,874748.8923,865003.8581,884493.9265,0.00099145,-0.010159974,0.012142874
3/8/2006,EAST,0.327514354,5052876.756,4986669.388,5119084.125,0.005320205,-0.007852411,0.018492821
3/8/2006,ERCOT,0.280344654,579917.3098,572952.5142,586882.1053,-0.002097123,-0.014081917,0.009887671
3/8/2006,WECC,0.267912912,874748.2727,865003.2152,884493.3302,0.000990741,-0.01016071,0.012142192
3/9/2006,EAST,0.335314291,5049694.547,4983986.436,5115402.658,0.004687073,-0.008386211,0.017760356
3/9/2006,ERCOT,0.285192113,579756.1563,572831.0943,586681.2184,-0.00237443,-0.014290852,0.009541992
3/9/2006,WECC,0.270443871,874644.6838,864895.6561,884393.7115,0.000872202,-0.010283792,0.012028196
3/10/2006,EAST,0.331955466,5051063.101,4985081.137,5117045.065,0.00495936,-0.008168409,0.01808713
3/10/2006,ERCOT,0.283720187,579799.573,572859.2274,586739.9186,-0.00229972,-0.014242442,0.009643001
3/10/2006,WECC,0.267807578,874752.7747,865007.887,884497.6624,0.000995893,-0.010155364,0.012147149
3/11/2006,EAST,0.331955466,5051063.101,4985081.137,5117045.065,0.00495936,-0.008168409,0.01808713
3/11/2006,ERCOT,0.283720187,579799.573,572859.2274,586739.9186,-0.00229972,-0.014242442,0.009643001
3/11/2006,WECC,0.267807578,874752.7747,865007.887,884497.6624,0.000995893,-0.010155364,0.012147149
3/12/2006,EAST,0.331955466,5051063.101,4985081.137,5117045.065,0.00495936,-0.008168409,0.01808713
3/12/2006,ERCOT,0.283720187,579799.573,572859.2274,586739.9186,-0.00229972,-0.014242442,0.009643001
3/12/2006,WECC,0.267807578,874752.7747,865007.887,884497.6624,0.000995893,-0.010155364,0.012147149
3/13/2006,EAST,0.309215687,5060453.798,4995507.589,5125400.007,0.006827733,-0.006093963,0.019749429
3/13/2006,ERCOT,0.268051788,580581.2805,573667.3693,587495.1917,-0.000954583,-0.012851817,0.01094265
3/13/2006,WECC,0.260656331,875095.845,865374.6827,884817.0074,0.001388474,-0.009735633,0.012512581
3/14/2006,EAST,0.292623687,5067583.937,5007604.858,5127563.017,0.008246345,-0.003687091,0.020179781
3/14/2006,ERCOT,0.252479974,582025.7791,575427.3678,588624.1904,0.001531063,-0.009823269,0.012885395
3/14/2006,WECC,0.252536013,875581.4172,865957.7804,885205.0539,0.001944123,-0.009068383,0.01295663
3/15/2006,EAST,0.295384266,5066374.306,5005301.472,5127447.141,0.008005677,-0.004145372,0.020156726
3/15/2006,ERCOT,0.257745292,581459.6428,574743.6839,588175.6016,0.000556874,-0.01099973,0.012113478
3/15/2006,WECC,0.252222693,875602.3409,865984.8078,885219.874,0.001968067,-0.009037455,0.012973589
3/16/2006,EAST,0.292947104,5067441.676,5007329.201,5127554.152,0.008218041,-0.003741935,0.020178017
3/16/2006,ERCOT,0.257453579,581488.9961,574779.7369,588198.2553,0.000607384,-0.010937691,0.012152459
3/16/2006,WECC,0.247765294,875918.565,866411.4083,885425.7216,0.002329928,-0.008549288,0.013209144
3/17/2006,EAST,0.293714061,5067104.903,5006681.607,5127528.198,0.008151036,-0.003870781,0.020172853
3/17/2006,ERCOT,0.258327413,581401.7879,574672.4991,588131.0766,0.000457319,-0.011122223,0.012036861
3/17/2006,WECC,0.247511032,875937.6694,866438.2204,885437.1184,0.00235179,-0.008518607,0.013222186
3/18/2006,EAST,0.293714061,5067104.903,5006681.607,5127528.198,0.008151036,-0.003870781,0.020172853
3/18/2006,ERCOT,0.258327413,581401.7879,574672.4991,588131.0766,0.000457319,-0.011122223,0.012036861
3/18/2006,WECC,0.247511032,875937.6694,866438.2204,885437.1184,0.00235179,-0.008518607,0.013222186
3/19/2006,EAST,0.293714061,5067104.903,5006681.607,5127528.198,0.008151036,-0.003870781,0.020172853
