date,intercn,co2mass,gasprice,coalprice
3/22/2006,WECC,862799.304,6.0947518,1.5720334
3/23/2006,EAST,5287585.133,7.0610399,2.0909662
3/23/2006,ERCOT,500395.629,6.6698918,1.6899333
3/23/2006,WECC,871049.065,6.093482,1.5720334
3/24/2006,EAST,5187362.71,7.2656751,2.0909662
3/24/2006,ERCOT,502457.651,6.8481312,1.6899333
3/24/2006,WECC,845000.982,6.3616371,1.5720334
3/25/2006,EAST,4878386.003,7.2656751,2.0909662
3/25/2006,ERCOT,450387.463,6.8481312,1.6899333
3/25/2006,WECC,792640.406,6.3616371,1.5720334
3/26/2006,EAST,4703303.706,7.2656751,2.0909662
3/26/2006,ERCOT,422828.724,6.8481312,1.6899333
3/26/2006,WECC,790569.701,6.3616371,1.5720334
3/27/2006,EAST,5067784.367,6.86518,2.0909662
3/27/2006,ERCOT,455549.551,6.4283109,1.6899333
3/27/2006,WECC,834846.353,5.9946222,1.5720334
3/28/2006,EAST,4998658.278,6.9572792,2.0909662
3/28/2006,ERCOT,460183.614,6.600328,1.6899333
3/28/2006,WECC,834957.528,5.988183,1.5720334
3/29/2006,EAST,4879184.472,6.9152842,2.0909662
3/29/2006,ERCOT,453458.165,6.6339612,1.6899333
3/29/2006,WECC,817323.72,6.0778689,1.5720334
3/30/2006,EAST,4834232.446,6.9202442,2.0909662
3/30/2006,ERCOT,477618.035,6.626102,1.6899333
3/30/2006,WECC,833925.259,6.2304611,1.5720334
3/31/2006,EAST,4753817.813,6.883471,2.0909662
3/31/2006,ERCOT,501520.368,6.5198569,1.6899333
3/31/2006,WECC,830624.786,6.0146799,1.5720334
4/1/2006,EAST,4426136.62,6.883471,2.0443544
4/1/2006,ERCOT,465327.48,6.5198569,1.6994301
4/1/2006,WECC,747410.139,6.0146799,1.4962602
4/2/2006,EAST,4315213.274,6.883471,2.0443544
4/2/2006,ERCOT,481844.205,6.5198569,1.6994301
4/2/2006,WECC,765502.538,6.0146799,1.4962602
4/3/2006,EAST,4825907.063,7.218883,2.0443544
4/3/2006,ERCOT,487606.241,6.6782079,1.6994301
4/3/2006,WECC,821907.353,6.0499911,1.4962602
4/4/2006,EAST,4850158.314,7.307405,2.0443544
4/4/2006,ERCOT,473501.089,6.7484221,1.6994301
4/4/2006,WECC,826332.32,6.1726151,1.4962602
4/5/2006,EAST,4861103.065,7.0463648,2.0443544
4/5/2006,ERCOT,472617.708,6.6738029,1.6994301
4/5/2006,WECC,805350.863,6.2680159,1.4962602
4/6/2006,EAST,4794212.543,7.1439228,2.0443544
4/6/2006,ERCOT,470596.549,6.793664,1.6994301
4/6/2006,WECC,783758.334,6.359868,1.4962602
4/7/2006,EAST,4773451.723,6.8233662,2.0443544
4/7/2006,ERCOT,477097.513,6.4581699,1.6994301
4/7/2006,WECC,749609.289,5.9598432,1.4962602
4/8/2006,EAST,4451058.048,6.8233662,2.0443544
4/8/2006,ERCOT,415481.406,6.4581699,1.6994301
4/8/2006,WECC,665221.601,5.9598432,1.4962602
4/9/2006,EAST,4309002.994,6.8233662,2.0443544
4/9/2006,ERCOT,417011.495,6.4581699,1.6994301
4/9/2006,WECC,657932.992,5.9598432,1.4962602
4/10/2006,EAST,4731274.178,6.7896709,2.0443544
4/10/2006,ERCOT,451619.781,6.4652309,1.6994301
4/10/2006,WECC,721934.719,5.8884492,1.4962602
4/11/2006,EAST,4722089.317,6.8403258,2.0443544
4/11/2006,ERCOT,462960.005,6.5420542,1.6994301
4/11/2006,WECC,735981.352,6.0759292,1.4962602
4/12/2006,EAST,4759189.34,6.5751662,2.0443544
4/12/2006,ERCOT,502384.767,6.3197408,1.6994301
4/12/2006,WECC,732684.253,5.8902779,1.4962602
4/13/2006,EAST,4784307.091,6.3657918,2.0443544
4/13/2006,ERCOT,518870.202,6.0870981,1.6994301
4/13/2006,WECC,742853.904,5.578207,1.4962602
4/14/2006,EAST,4647375.738,6.3657918,2.0443544
4/14/2006,ERCOT,484730.063,6.0870981,1.6994301
4/14/2006,WECC,705002.285,5.578207,1.4962602
4/15/2006,EAST,4397128.52,6.3657918,2.0443544
4/15/2006,ERCOT,490027.59,6.0870981,1.6994301
4/15/2006,WECC,639222.611,5.578207,1.4962602
4/16/2006,EAST,4223819.444,6.3657918,2.0443544
4/16/2006,ERCOT,520637.138,6.0870981,1.6994301
4/16/2006,WECC,596940.628,5.578207,1.4962602
4/17/2006,EAST,4850455.928,7.0327229,2.0443544
4/17/2006,ERCOT,605599.099,6.701756,1.6994301
4/17/2006,WECC,682225.349,5.986701,1.4962602
4/18/2006,EAST,4957550.379,7.393055,2.0443544
4/18/2006,ERCOT,618965.627,7.093049,1.6994301
4/18/2006,WECC,688436.531,6.300889,1.4962602
4/19/2006,EAST,4934098.194,7.5686808,2.0443544
4/19/2006,ERCOT,562195.463,7.27526,1.6994301
4/19/2006,WECC,690040.271,6.5676908,1.4962602
4/20/2006,EAST,4932098.39,7.8844609,2.0443544
4/20/2006,ERCOT,515101.574,7.5526209,1.6994301
4/20/2006,WECC,681411.111,6.922379,1.4962602
4/21/2006,EAST,4869248.413,7.4736681,2.0443544
