date,month,year,intercn,co2mass,gasprice,load
4/25/2006,4,2006,WECC,684196.146,6.186552,1630878.8
4/26/2006,4,2006,EAST,4872361.731,7.0669999,7021144
4/26/2006,4,2006,ERCOT,463986.963,6.7101812,712547.88
4/26/2006,4,2006,WECC,687898.434,6.0913901,1636241.3
4/27/2006,4,2006,EAST,4834165.382,6.734489,6951579.5
4/27/2006,4,2006,ERCOT,457122.145,6.3599119,724973.44
4/27/2006,4,2006,WECC,686414.248,5.660418,1633938.1
4/28/2006,4,2006,EAST,4684348.009,6.4918489,6768130
4/28/2006,4,2006,ERCOT,499514.242,6.0877838,766066.75
4/28/2006,4,2006,WECC,676280.184,5.6182742,1627083.4
4/29/2006,4,2006,EAST,4215307.163,6.4918489,6178333.5
4/29/2006,4,2006,ERCOT,479060.926,6.0877838,721492.81
4/29/2006,4,2006,WECC,634028.389,5.6182742,1535219
4/30/2006,4,2006,EAST,4142057.149,6.4918489,6000293.5
4/30/2006,4,2006,ERCOT,490682.29,6.0877838,718603.06
4/30/2006,4,2006,WECC,644426.032,5.6182742,1542915.5
5/1/2006,5,2006,EAST,4763848.706,6.433435,6561964.5
5/1/2006,5,2006,ERCOT,560287.691,6.1097178,852211.06
5/1/2006,5,2006,WECC,741387.392,5.618979,1651677.8
5/2/2006,5,2006,EAST,4849480.012,6.6287751,6721202.5
5/2/2006,5,2006,ERCOT,566643.532,6.3374572,889183.81
5/2/2006,5,2006,WECC,759088.114,5.8645611,1676971.4
5/3/2006,5,2006,EAST,4990792.447,6.5603838,6885345
5/3/2006,5,2006,ERCOT,563480.02,6.2381458,890111.75
5/3/2006,5,2006,WECC,746183.798,5.84304,1644740.6
5/4/2006,5,2006,EAST,4990519.295,6.4182611,6917480
5/4/2006,5,2006,ERCOT,571609.543,6.1120772,883567.06
5/4/2006,5,2006,WECC,723411.53,5.5522718,1624878.9
5/5/2006,5,2006,EAST,4902018.648,6.6328568,6747922
5/5/2006,5,2006,ERCOT,558411.697,6.1746888,848862.63
5/5/2006,5,2006,WECC,710303.347,5.3834682,1603896.1
5/6/2006,5,2006,EAST,4474895.959,6.6328568,6147488
5/6/2006,5,2006,ERCOT,512378.991,6.1746888,746719.06
5/6/2006,5,2006,WECC,638019.403,5.3834682,1502651.1
5/7/2006,5,2006,EAST,4295774.526,6.6328568,5908872.5
5/7/2006,5,2006,ERCOT,507481.542,6.1746888,749289.31
5/7/2006,5,2006,WECC,640527.418,5.3834682,1499824.6
5/8/2006,5,2006,EAST,4849086.673,6.4619169,6751815
5/8/2006,5,2006,ERCOT,535422.187,6.1074972,851093.13
5/8/2006,5,2006,WECC,737612.054,5.5172949,1676489.6
5/9/2006,5,2006,EAST,4895075.683,6.4722881,6863901
5/9/2006,5,2006,ERCOT,598942.806,6.1986718,975551.5
5/9/2006,5,2006,WECC,778079.749,5.6379719,1686168.4
5/10/2006,5,2006,EAST,4911249.822,6.4370999,6908060
5/10/2006,5,2006,ERCOT,564683.788,6.1357579,915223.69
5/10/2006,5,2006,WECC,797117.866,5.5488472,1714061.3
5/11/2006,5,2006,EAST,4827647.928,6.7609639,6768609
5/11/2006,5,2006,ERCOT,503861.028,6.4293699,750833
5/11/2006,5,2006,WECC,787110.23,5.7234721,1732645.6
5/12/2006,5,2006,EAST,4748412.793,6.2396169,6621927.5
5/12/2006,5,2006,ERCOT,500583.884,5.851625,774696.81
5/12/2006,5,2006,WECC,759984.158,5.1284041,1727862.1
5/13/2006,5,2006,EAST,4356373.103,6.2396169,6106713.5
5/13/2006,5,2006,ERCOT,533354.681,5.851625,827826.19
5/13/2006,5,2006,WECC,708992.461,5.1284041,1622152
5/14/2006,5,2006,EAST,4174985.742,6.2396169,5869276.5
5/14/2006,5,2006,ERCOT,518656.296,5.851625,789044.5
5/14/2006,5,2006,WECC,718500.46,5.1284041,1605038.5
5/15/2006,5,2006,EAST,4770127.801,5.8857069,6665481
5/15/2006,5,2006,ERCOT,521786.656,5.5554419,759860.81
5/15/2006,5,2006,WECC,800687.566,5.2937312,1810566.3
5/16/2006,5,2006,EAST,4711173.383,5.9967461,6583528
5/16/2006,5,2006,ERCOT,516972.08,5.7040739,764010.31
5/16/2006,5,2006,WECC,803564.065,5.4468889,1836561.1
5/17/2006,5,2006,EAST,4746083.797,6.1508088,6657555
5/17/2006,5,2006,ERCOT,543744.623,5.8825359,801810.69
5/17/2006,5,2006,WECC,816211.577,5.541821,1870734.6
5/18/2006,5,2006,EAST,4855643.066,5.843091,6767453
5/18/2006,5,2006,ERCOT,557491.743,5.5896778,874407.75
5/18/2006,5,2006,WECC,815571.081,5.3090281,1880433.4
5/19/2006,5,2006,EAST,4919709.946,5.8183718,6854606
5/19/2006,5,2006,ERCOT,603684.582,5.5374641,936133.06
5/19/2006,5,2006,WECC,790984.985,5.1976709,1826323.8
5/20/2006,5,2006,EAST,4729873.651,5.8183718,6511298.5
5/20/2006,5,2006,ERCOT,572153.861,5.5374641,896440.75
5/20/2006,5,2006,WECC,707848.672,5.1976709,1683135.5
5/21/2006,5,2006,EAST,4707120.127,5.8183718,6374023.5
5/21/2006,5,2006,ERCOT,560672.32,5.5374641,868358.69
