"date","intercn","co2mass","gasprice","coalprice","costratio","load","tlsd","tlmin","tlmax","meant","nonfossil","so2price","netNSflow","yearseason","fit","lwr","upr","fit.transformed","lwr.transformed","upr.transformed"
"7/22/2012","EAST",5711187.188,3.073802,2.5885079,0.842119271,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4594366.77217694,4530550.47851965,4658183.06583423,-0.0859049275023974,-0.0986018153369637,-0.0732080396678312
"7/23/2012","EAST",6642439.062,3.1201179,2.5885079,0.829618618,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4605886.06335926,4544176.5458826,4667595.58083592,-0.0836130496810196,-0.0958907733911123,-0.0713353259709268
"7/24/2012","EAST",6689234.447,3.2205369,2.5885079,0.803750424,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4631226.14047714,4574190.63301768,4688261.64793659,-0.078571388712541,-0.0899191715325407,-0.0672236058925414
"7/25/2012","EAST",6532666.757,3.247375,2.5885079,0.797107787,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4638068.09151489,4582231.20663986,4693904.97638991,-0.0772101143432957,-0.0883194192505512,-0.0661008094360402
"7/26/2012","EAST",6707263.531,3.220345,2.5885079,0.80379832,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4631177.31111833,4574133.08376254,4688221.53847413,-0.0785811038002749,-0.0899306215305835,-0.0672315860699664
"7/27/2012","EAST",6442573.377,3.1244121,2.5885079,0.828478388,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4606960.01207465,4545449.82580991,4668470.19833939,-0.0833993768774469,-0.0956374416557121,-0.0711613120991818
"7/28/2012","EAST",5873633.321,3.1244121,2.5885079,0.828478388,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4606960.01207465,4545449.82580991,4668470.19833939,-0.0833993768774469,-0.0956374416557121,-0.0711613120991818
"7/29/2012","EAST",5725376.166,3.1244121,2.5885079,0.828478388,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4606960.01207465,4545449.82580991,4668470.19833939,-0.0833993768774469,-0.0956374416557121,-0.0711613120991818
"7/30/2012","EAST",6333219.747,3.2070651,2.5885079,0.807126709,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4627801.63517582,4570149.89141207,4685453.37893958,-0.0792527281825693,-0.0907231173588292,-0.0677823390063095
"7/31/2012","EAST",6279003.689,3.281455,2.5885079,0.788829315,7456083.96597575,37871.5511271021,249989.241482206,357810.864294095,56.5231245334376,70427030.3965585,236.056559888271,2871794.22045366,20091.516229957,4646790.66798471,4592396.608866,4701184.72710342,-0.0754746707955941,-0.086296911134494,-0.0646524304566941
