date,intercn,co2mass,gasprice,coalprice,tlsd,tlmin,tlmax,load,nonfossil,meant,netNSflow,so2price
2/18/2006,WECC,878134.416,6.866487,1.5973077,4918.1587,66776.539,83349.758,1782880,24289238,34.624523,-954032.06,1136.45
2/19/2006,EAST,5640510.07,7.703651,2.0730097,16651.758,301366.56,356494.13,7815341,65474208,23.258905,2618032.3,1136.45
2/19/2006,ERCOT,628176.028,7.1920209,1.6530137,2309.4856,35648.352,42319.25,937485.88,3808980,33.500153,0,1136.45
2/19/2006,WECC,837645.649,6.866487,1.5973077,5182.791,64497.516,82317.984,1720981.3,24289238,35.88483,-954032.06,1136.45
2/20/2006,EAST,5762520.742,7.703651,2.0730097,27096.559,288328.72,369567.03,8018966.5,65474208,28.151329,2618032.3,1136.45
2/20/2006,ERCOT,575718.201,7.1920209,1.6530137,3018.0549,31483.641,41712.672,887727.38,3808980,36.623562,0,1136.45
2/20/2006,WECC,864814.215,6.866487,1.5973077,6919.9575,64949.617,88124.023,1837732,24289238,36.562313,-954032.06,1136.45
2/21/2006,EAST,5556652.961,7.4556899,2.0730097,25174.059,277524.03,353429.03,7707632,65474208,34.872902,2618032.3,1136.45
2/21/2006,ERCOT,528962.13,7.127562,1.6530137,2879.0835,28398.32,37723.602,806583.25,3808980,44.115616,0,1136.45
2/21/2006,WECC,870923.915,6.8830171,1.5973077,7356.4688,64794.516,88560.469,1868051,24289238,39.116684,-954032.06,1136.45
2/22/2006,EAST,5435995.43,7.525753,2.0730097,27454.219,264936.56,348894.63,7536887,65474208,39.240932,2618032.3,1136.45
2/22/2006,ERCOT,520847.652,7.1924829,1.6530137,3239.5518,25624.67,35589.43,751788.44,3808980,52.824642,0,1136.45
2/22/2006,WECC,874626.197,6.6960378,1.5973077,6996.0967,64608.742,87017.742,1846929.8,24289238,42.214344,-954032.06,1136.45
2/23/2006,EAST,5385558.85,7.2880759,2.0730097,28431.184,257776.81,345683.41,7410349,65474208,42.150806,2618032.3,1136.45
2/23/2006,ERCOT,522190.878,6.8891401,1.6530137,2885.6396,25983.381,34817.559,742411.69,3808980,55.402172,0,1136.45
2/23/2006,WECC,847319.074,6.5107522,1.5973077,6974.8193,63292.965,85725.695,1819801.6,24289238,45.256317,-954032.06,1136.45
2/24/2006,EAST,5357609.814,7.5928459,2.0730097,24201.643,265497.88,340722.75,7386715,65474208,40.190399,2618032.3,1136.45
2/24/2006,ERCOT,504171.817,6.8933668,1.6530137,3030.9009,24932.24,33509.77,730069.44,3808980,54.928204,0,1136.45
2/24/2006,WECC,853720.794,6.5175772,1.5973077,6694.0444,62253.785,82863.117,1789199.8,24289238,46.362328,-954032.06,1136.45
2/25/2006,EAST,4997834.895,7.5928459,2.0730097,19807.127,255839.09,316905.25,6946643.5,65474208,40.200817,2618032.3,1136.45
2/25/2006,ERCOT,483345.453,6.8933668,1.6530137,2499.2004,24358.77,31580.631,687264.69,3808980,55.311352,0,1136.45
2/25/2006,WECC,820973.656,6.5175772,1.5973077,4891.5146,61753.402,78529.234,1669881.5,24289238,47.093025,-954032.06,1136.45
2/26/2006,EAST,5056101.493,7.5928459,2.0730097,23523.707,258133.63,335399.13,7028767.5,65474208,34.079144,2618032.3,1136.45
2/26/2006,ERCOT,479774.471,6.8933668,1.6530137,1694.8722,25199.971,30602.061,662094.38,3808980,52.687218,0,1136.45
2/26/2006,WECC,817413.588,6.5175772,1.5973077,6644.8979,58747.043,80934.242,1637349,24289238,49.916588,-954032.06,1136.45
2/27/2006,EAST,5554041.217,7.1143718,2.0730097,25872.182,282288.91,363618.03,7775954,65474208,32.187885,2618032.3,1136.45
2/27/2006,ERCOT,494024.923,6.4930511,1.6530137,3004.3364,24458.51,34154.91,708180.75,3808980,54.493481,0,1136.45
2/27/2006,WECC,832568.008,6.1554828,1.5973077,9071.6719,58041.328,86388.242,1775322.4,24289238,51.200897,-954032.06,1136.45
2/28/2006,EAST,5335004.03,6.594418,2.0730097,24333.145,266424.06,339880.78,7378602,65474208,36.913925,2618032.3,1136.45
2/28/2006,ERCOT,484332.914,6.0165138,1.6530137,3601.7107,22600.42,33362.891,693923.31,3808980,61.601288,0,1136.45
2/28/2006,WECC,806659.231,5.8336191,1.5973077,8427.9082,58837.98,85140.141,1767397,24289238,50.917416,-954032.06,1136.45
3/1/2006,EAST,5134045.786,6.5809369,2.0909662,26971.174,247629.56,331821.56,7113074,65527168,42.930065,2626701.3,902.85999
3/1/2006,ERCOT,478379.916,5.8348861,1.6899333,4653.585,22090.6,35541.301,713379.56,4282694,68.436279,0,902.85999
3/1/2006,WECC,832924.674,5.5603962,1.5720334,7703.7402,58913.734,83519.609,1744621.6,25518632,48.065311,-917779.94,902.85999
3/2/2006,EAST,5154568.93,6.7804389,2.0909662,32254.52,239435.88,338505.06,7139077.5,65527168,44.697834,2626701.3,902.85999
3/2/2006,ERCOT,495123.897,5.9329958,1.6899333,4436.8813,22569.641,35119.32,719920.94,4282694,70.419746,0,902.85999
3/2/2006,WECC,837793.053,5.6108561,1.5720334,7849.3428,59173.539,84033.797,1758907.9,25518632,46.928219,-917779.94,902.85999
3/3/2006,EAST,5267474.331,6.6022959,2.0909662,28769.24,250316.2,333981.91,7275971,65527168,39.733326,2626701.3,902.85999
3/3/2006,ERCOT,482024.561,5.8330579,1.6899333,3453.5181,22693.75,32259.83,692386,4282694,67.758354,0,902.85999
3/3/2006,WECC,819543.995,5.6186838,1.5720334,7108.0107,59968.688,81589.406,1749514.5,25518632,45.664951,-917779.94,902.85999
3/4/2006,EAST,5011976.317,6.6022959,2.0909662,16073.229,262997.69,312307.66,6910317.5,65527168,37.06115,2626701.3,902.85999
3/4/2006,ERCOT,423525.349,5.8330579,1.6899333,2539.1824,22159.16,30141.82,634257.25,4282694,63.252201,0,902.85999
3/4/2006,WECC,774432.436,5.6186838,1.5720334,4913.9858,60174.281,76648.719,1630540.3,25518632,44.824455,-917779.94,902.85999
3/5/2006,EAST,4805322.386,6.6022959,2.0909662,16647.77,250687.34,309030.88,6613891,65527168,39.826336,2626701.3,902.85999
3/5/2006,ERCOT,441427.696,5.8330579,1.6899333,3391.5862,22020.51,32366.27,642835.63,4282694,65.812798,0,902.85999
3/5/2006,WECC,816971.331,5.6186838,1.5720334,6030.7817,58178.402,78398.563,1604481.8,25518632,46.649811,-917779.94,902.85999
3/6/2006,EAST,5171221.467,6.476491,2.0909662,32879.828,240539.53,341155.78,7182083,65527168,41.700748,2626701.3,902.85999
3/6/2006,ERCOT,490326.7,5.8151498,1.6899333,5025.4258,22566,36777.34,735135.5,4282694,67.890625,0,902.85999
3/6/2006,WECC,862927.91,5.763824,1.5720334,8635.9414,57653.59,84622.453,1752046.1,25518632,48.522934,-917779.94,902.85999
3/7/2006,EAST,5219786.29,6.490757,2.0909662,27035.967,254554.05,338132.72,7256907.5,65527168,41.106789,2626701.3,902.85999
3/7/2006,ERCOT,482366.113,6.016221,1.6899333,4121.7158,23218.27,35345.371,729945.5,4282694,70.449371,0,902.85999
3/7/2006,WECC,857682.099,5.868021,1.5720334,7839.2783,58824.809,83788.148,1748842.5,25518632,48.367485,-917779.94,902.85999
3/8/2006,EAST,5214721.497,6.3843498,2.0909662,24395.836,258163.41,331277.44,7216848,65527168,42.980236,2626701.3,902.85999
3/8/2006,ERCOT,472336.102,6.0280561,1.6899333,4348.5083,23303.17,35755.672,736469.06,4282694,71.254921,0,902.85999
3/8/2006,WECC,859221.784,5.867703,1.5720334,7849.8848,59818.902,85091.75,1775101.5,25518632,45.377193,-917779.94,902.85999
